filename,width,height,class,xmin,ymin,xmax,ymax
gallery20180211100246_jpg.rf.c23aa42514507e66da076f16c10c0bd1.jpg,1024,768,Gir,54,0,974,659
gallery20180211100246_jpg.rf.c23aa42514507e66da076f16c10c0bd1.jpg,1024,768,Gir,167,290,462,672
AdobeStock_517269501_Preview_jpeg.rf.6ec074485cba875245276c66a99900fb.jpg,1000,664,Gir,240,120,769,615
AdobeStock_517269501_Preview_jpeg.rf.6ec074485cba875245276c66a99900fb.jpg,1000,664,Gir,725,120,1000,509
AdobeStock_517269501_Preview_jpeg.rf.6ec074485cba875245276c66a99900fb.jpg,1000,664,Gir,840,119,969,190
AdobeStock_492690788_Preview_jpeg.rf.7162a6273c50899f0810f43a47f7c532.jpg,1000,667,Gir,4,148,502,667
AdobeStock_492690788_Preview_jpeg.rf.7162a6273c50899f0810f43a47f7c532.jpg,1000,667,Gir,416,167,732,497
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,381,210,648,601
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,149,241,416,464
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,874,175,990,307
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,669,126,808,216
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,687,191,884,466
AdobeStock_713132417_Preview_jpeg.rf.a6e0480097681199d64685a73bfcbecf.jpg,1000,620,Gir,391,157,496,257
gallery20180211080243_jpg.rf.5e020058f3591893d3d3109645a66fd6.jpg,1280,900,Gir,307,257,911,726
gallery20180211080243_jpg.rf.5e020058f3591893d3d3109645a66fd6.jpg,1280,900,Gir,227,277,341,354
gallery20180211080251_jpg.rf.d6262b831f5be8fc769c8f2f01f7e0eb.jpg,1280,900,Gir,12,89,1081,867
gallery20180211080251_jpg.rf.d6262b831f5be8fc769c8f2f01f7e0eb.jpg,1280,900,Gir,95,120,595,226
gallery20180211090226_jpg.rf.63b2956e17fa9ae284d0d0ed453e398f.jpg,645,430,Gir,102,73,491,385
gallery20180213070253_jpg.rf.b38236c8bbfe37aec73cd30a0ae18921.jpg,640,480,Gir,157,109,578,470
AdobeStock_621998281_Preview_jpeg.rf.decae20f9d2be38d1490d1dfb58b4458.jpg,1000,667,Gir,391,140,776,601
AdobeStock_621998281_Preview_jpeg.rf.decae20f9d2be38d1490d1dfb58b4458.jpg,1000,667,Gir,200,145,439,529
AdobeStock_621998281_Preview_jpeg.rf.decae20f9d2be38d1490d1dfb58b4458.jpg,1000,667,Gir,13,261,222,404
AdobeStock_713133836_Preview_jpeg.rf.ae48d9e201b1212ce954139266314895.jpg,1000,649,Gir,3,53,457,470
AdobeStock_713133836_Preview_jpeg.rf.ae48d9e201b1212ce954139266314895.jpg,1000,649,Gir,170,169,1000,649
gallery20180211090212_jpg.rf.b67aad26c481f6bd2209dca9aa4513a4.jpg,645,430,Gir,46,82,504,394
AdobeStock_410869810_Preview_jpeg.rf.94c8bd30fd297eb6a6e754ad12ae9b3c.jpg,1000,563,Gir,263,121,751,538
gallery20180211100200_jpg.rf.928d504a2ae78b57bef465f40e0fcd18.jpg,720,405,Gir,142,10,545,369
gallery20180211090246_jpg.rf.9c3704c747975768b1eb4e94683f6cbb.jpg,1280,900,Gir,185,130,929,767
gallery20180203110255_jpg.rf.5926eb15d20a4da940e651f3d85a2c9f.jpg,1280,900,Gir,145,14,1115,835
AdobeStock_1455971930_Preview_jpeg.rf.4908286e6697e37eeb3458a7fe26dc8b.jpg,1000,667,Gir,1,63,763,667
gallery20180211100206_jpg.rf.2211c913f3b8378bd5d8326c9c34d06a.jpg,645,430,Gir,66,36,531,412
gallery20180211090229_jpg.rf.cbdd54f6d3620ba20a4842e87909ae49.jpg,645,430,Gir,155,89,513,409
AdobeStock_492690792_Preview_jpeg.rf.eac55e813d7e918c00298af2963e0b87.jpg,1000,667,Gir,436,260,852,667
AdobeStock_492690792_Preview_jpeg.rf.eac55e813d7e918c00298af2963e0b87.jpg,1000,667,Gir,5,94,381,667
AdobeStock_492690792_Preview_jpeg.rf.eac55e813d7e918c00298af2963e0b87.jpg,1000,667,Gir,0,435,339,667
AdobeStock_492690792_Preview_jpeg.rf.eac55e813d7e918c00298af2963e0b87.jpg,1000,667,Gir,485,139,887,305
AdobeStock_492690792_Preview_jpeg.rf.eac55e813d7e918c00298af2963e0b87.jpg,1000,667,Gir,370,92,478,251
AdobeStock_543480196_Preview_jpeg.rf.26bd1bb1b6c757e2cbe78ff95cf644e3.jpg,1000,750,Gir,224,195,555,668
AdobeStock_543480196_Preview_jpeg.rf.26bd1bb1b6c757e2cbe78ff95cf644e3.jpg,1000,750,Gir,563,220,820,484
AdobeStock_543480196_Preview_jpeg.rf.26bd1bb1b6c757e2cbe78ff95cf644e3.jpg,1000,750,Gir,13,197,122,314
AdobeStock_543480196_Preview_jpeg.rf.26bd1bb1b6c757e2cbe78ff95cf644e3.jpg,1000,750,Gir,834,220,996,446
gallery20180211090244_jpg.rf.69e2fbe90ec1ca6a6b36c94bfe8ea9d6.jpg,1280,900,Gir,133,139,1124,825
AdobeStock_517269505_Preview_jpeg.rf.07df5df1fffdc1f44b6d312b258f75e2.jpg,1000,664,Gir,195,40,782,632
gallery20180203110234_jpg.rf.1c913bba137414d34f182bc0030da038.jpg,1280,900,Gir,170,120,1001,809
AdobeStock_200652380_Preview_jpeg.rf.5240179aae6cf62b07a181639b0a2acc.jpg,1000,695,Gir,355,72,932,695
AdobeStock_532127971_Preview_jpeg.rf.54bf6b7f04dbca27434b88e8a1b77d52.jpg,1000,667,Gir,255,160,792,667
AdobeStock_532127971_Preview_jpeg.rf.54bf6b7f04dbca27434b88e8a1b77d52.jpg,1000,667,Gir,15,244,301,634
AdobeStock_373578331_Preview_jpeg.rf.7a8330d4643196e02b69d7a1755fc6f4.jpg,1000,667,Gir,324,337,850,648
AdobeStock_373578331_Preview_jpeg.rf.7a8330d4643196e02b69d7a1755fc6f4.jpg,1000,667,Gir,384,71,939,346
gallery20180213070237_jpg.rf.af58d0b649a4efd4b1c2b2a5f76f42e0.jpg,640,480,Gir,171,77,580,451
AdobeStock_448680223_Preview_jpeg.rf.30e7908b24fd5463616de91b8283b507.jpg,1000,727,Gir,420,0,991,611
AdobeStock_448680223_Preview_jpeg.rf.30e7908b24fd5463616de91b8283b507.jpg,1000,727,Gir,249,227,452,514
AdobeStock_448680223_Preview_jpeg.rf.30e7908b24fd5463616de91b8283b507.jpg,1000,727,Gir,184,192,292,465
AdobeStock_575742661_Preview_jpeg.rf.38431eaa663d602af1ae5fc8154d8da9.jpg,1000,750,Gir,111,335,357,698
AdobeStock_575742661_Preview_jpeg.rf.38431eaa663d602af1ae5fc8154d8da9.jpg,1000,750,Gir,367,339,563,663
AdobeStock_575742661_Preview_jpeg.rf.38431eaa663d602af1ae5fc8154d8da9.jpg,1000,750,Gir,506,362,758,722
AdobeStock_575742661_Preview_jpeg.rf.38431eaa663d602af1ae5fc8154d8da9.jpg,1000,750,Gir,719,357,1000,750
